纪录片,#genre#
a飞向月球,＃向往类型＃
1往事千年,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/d64a17c7177641b18fa37b59f4b5ae2b/8000.m3u8
2中国探月,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/72ea230607c8498a961ccc44c085d2ba/8000.m3u8
3嫦娥落月,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/45c55ae6c23240beafa02b1dc3d07d74/8000.m3u8
4月球背面,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/44eaf80f5a4048f591ed9800e9970c32/8000.m3u8
5自新大陆,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/68c6dc19cb8b4d9fa3921d4f8d124513/8000.m3u8

b美丽中国自然,＃genre＃
1三江并流系列自然的馈赠,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/9c6f0e212a8d4de1ac61cde9cf62443d/8000.m3u8
2三江并流系列响古箐故事,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/362c71bda1d24054882bd85103f48468/8000.m3u8
3高黎贡山系列百花岭,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/a65a049a80794dd48e4fde6a9eecf3af/8000.m3u8
4高黎贡山系列菲氏叶猴,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/51d937a0201f4c78a5878b4b37089f3b/8000.m3u8
5高黎贡山系列火山热海,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/5e5edfdb3b754dde84e469c3658459a7/8000.m3u8
6高黎贡山系列北海湿地,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/2f365f5e37de402e92995a0e56ee7c83/8000.m3u8
7高黎贡山系列水中凤凰,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/5c6f21d26986437cb6931c567a31409d/8000.m3u8
8高黎贡山系列百鸟争鸣,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/ee4c1d1451c74420822766bbdd4d35b8/8000.m3u8
9高黎贡山系列秃杉凌云,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/00ac0883f05c41808025b87778ef3218/8000.m3u8
10高黎贡山系列把根留住,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/d702454968fc452bad1a321487a97a1d/8000.m3u8
11高黎贡山系列山间集结号,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/0f2790a8ea1b471199eac49fe4ab587a/8000.m3u8
12高黎贡山系列守望高黎贡山,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/2f5639a2d8e040019afaa00dfb40777a/8000.m3u8
